Panjang HURI;HURI;Diagnosis;Utilitas;Support
1;BMI_Obesitas;tidak berpotensi memiliki penyakit kardiovaskular;70097,48;11542
1;Laki-Laki;tidak berpotensi memiliki penyakit kardiovaskular;61555,94;10911
1;Hipertensi tingkat 1;berpotensi memiliki penyakit kardiovaskular;70342,65;9627
1;Umur sekitar 51-58 tahun;berpotensi memiliki penyakit kardiovaskular;82874,94;8701
1;Umur sekitar 51-58 tahun;tidak berpotensi memiliki penyakit kardiovaskular;75628,36;8477
1;Umur sekitar 55-63 tahun;berpotensi memiliki penyakit kardiovaskular;72475,24;7662
2;Perempuan, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;79352;32
2;Perempuan, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;74618,06;32
2;Perempuan, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;62007,32;32
2;Perempuan, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;74489,26;31
2;Prahipertensi, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;96582,45;16
2;Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;94408,02;16
2;Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;81799,3;16
3;Perempuan, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;78216,52;16
3;Perempuan, Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;77782,25;16
3;Perempuan, Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;72345,9;16
3;Perempuan, Prahipertensi, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;69475,74;16
2;Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;65551,55;16
3;Perempuan, Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;65212,75;16
3;Prahipertensi, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;90294,36;8
2;Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;88820,64;8
3;Prahipertensi, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;86977,86;8
3;Prahipertensi, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;86654,73;8
3;Prahipertensi, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;83819,4;8
2;Kolestrol normal, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;73751;8
3;Perempuan, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;73597,36;8
3;Perempuan, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;73215,42;8
2;Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;72192,2;8
3;Perempuan, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;68415,46;8
2;Kolestrol normal, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;66511;8
3;Perempuan, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;65162,72;8
4;Perempuan, Prahipertensi, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;64285,33;8
4;Perempuan, Prahipertensi, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;63896,31;8
4;Perempuan, Prahipertensi, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;59543,71;8
2;Kolestrol normal, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;93939;4
3;Prahipertensi, Kolestrol normal, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;92891,52;4
3;Prahipertensi, Kolestrol normal, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;91940,46;4
3;Prahipertensi, Kolestrol normal, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;89558,71;4
